activation:,agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,<function relu at 0x7fe9410cacb0>,0.99,1.0,4,0.01,8,0.0003,0
Performance logging begins:
"Episode:,Score:,Average Score:,Epsilon:"
835,-231.01,217.12,0.01
836,-49.82,214.01,0.01
837,-170.81,209.65,0.01
838,256.44,209.52,0.01
839,262.58,209.83,0.01
840,235.32,209.46,0.01
841,248.72,209.57,0.01
842,-218.23,204.7,0.01
843,-257.79,199.84,0.01
844,-215.95,197.5,0.01
845,-139.02,193.51,0.01
846,-168.65,188.87,0.01
847,269.84,189.31,0.01
848,31.47,187.07,0.01
849,264.11,186.75,0.01
850,231.86,186.37,0.01
851,267.62,186.21,0.01
852,-22.43,183.33,0.01
853,241.4,183.88,0.01
854,4.09,181.44,0.01
855,157.33,180.92,0.01
856,259.51,182.15,0.01
857,189.13,180.97,0.01
858,269.07,183.67,0.01
859,-39.48,180.67,0.01
860,281.56,180.92,0.01
861,232.54,180.45,0.01
862,246.27,183.08,0.01
863,-28.43,180.57,0.01
864,269.02,183.21,0.01
865,17.66,180.73,0.01
866,228.63,180.43,0.01
867,268.33,180.45,0.01
868,-3.44,177.8,0.01
869,1.41,175.13,0.01
870,254.29,177.72,0.01
871,250.91,177.6,0.01
872,215.91,177.42,0.01
873,248.05,176.88,0.01
874,-117.79,174.01,0.01
875,240.84,173.62,0.01
876,-147.73,169.04,0.01
877,126.61,168.05,0.01
878,-23.71,165.43,0.01
879,240.3,164.71,0.01
880,292.12,165.84,0.01
881,239.77,165.99,0.01
882,-122.97,162.23,0.01
883,262.23,162.36,0.01
884,-35.06,159.07,0.01
885,232.61,158.89,0.01
886,-125.1,154.56,0.01
887,249.56,154.08,0.01
888,-270.97,148.47,0.01
889,170.39,147.81,0.01
890,-3.84,144.98,0.01
891,280.37,145.09,0.01
892,219.76,144.22,0.01
893,246.41,143.71,0.01
894,252.24,143.63,0.01
895,213.14,146.05,0.01
896,257.83,148.54,0.01
